Concept,Question,Option One,Option Two,Option Three,Option Four,Correct Answer,Note
pure functions,What is a use case for pure functions?,Random access,Functional programming,Filtering data,Sorting data,Functional programming,Simplifies testing.
pure functions,What is a benefit of pure functions?,Increased complexity,Testability,More memory usage,Slower execution,Testability,Easy to verify.
pure functions,What is a limitation of pure functions?,Improved performance,State management,Low memory usage,Fast execution,State management,No side effects.
function composition,What is function composition?,Combining functions to create new ones,Sorting functions,Filtering functions,Compression functions,Combining functions to create new ones,Enhances modularity.
function composition,What operator supports composition in some languages?,.,+,*,/,.,Chains functions.
function composition,What is a use case for function composition?,Random access,Data transformation,Filtering data,Sorting data,Data transformation,Pipelines data.
function composition,What is a benefit of function composition?,Increased complexity,Clarity,More memory usage,Slower execution,Clarity,Reduces nesting.
function composition,What is a limitation of function composition?,Improved performance,Debugging,Low memory usage,Fast execution,Debugging,Hard to trace.
partial application,What is partial application?,Applying some arguments to a function,Sorting arguments,Filtering arguments,Compression arguments,Applying some arguments to a function,Creates specialized functions.
partial application,What language supports partial application?,Haskell,Python,HTML,JavaScript,Haskell,Functional paradigm.
partial application,What is a use case for partial application?,Random access,Reusable functions,Filtering data,Sorting data,Reusable functions,Customizes behavior.
partial application,What is a benefit of partial application?,Increased complexity,Flexibility,More memory usage,Slower execution,Flexibility,Reduces repetition.
partial application,What is a limitation of partial application?,Improved performance,Overhead,Low memory usage,Fast execution,Overhead,Creates closures.
tail recursion,What is tail recursion?,Recursion where the last operation is the recursive call,Sorting call,Filtering call,Compression call,Recursion where the last operation is the recursive call,Optimizes stack.
tail recursion,What language optimizes tail recursion?,Scheme,Python,HTML,JavaScript,Scheme,Functional optimization.
tail recursion,What is a use case for tail recursion?,Random access,Loop replacement,Filtering data,Sorting data,Loop replacement,Handles iteration.
tail recursion,What is a benefit of tail recursion?,Increased complexity,Efficiency,More memory usage,Slower execution,Efficiency,Reduces stack use.
tail recursion,What is a limitation of tail recursion?,Improved performance,Language dependency,Low memory usage,Fast execution,Language dependency,Not all support.
memoization,What is memoization?,Caching function results to avoid recomputation,Sorting results,Filtering results,Compression results,Caching function results to avoid recomputation,Improves performance.
memoization,What technique uses memoization?,Dynamic programming,Linear sorting,Filtering,Compression,Dynamic programming,Optimizes recursion.
memoization,What is a use case for memoization?,Random access,Fibonacci calculation,Filtering data,Sorting data,Fibonacci calculation,Speeds up recursion.
memoization,What is a benefit of memoization?,Increased complexity,Speed,More memory usage,Slower execution,Speed,Reduces redundant work.
memoization,What is a limitation of memoization?,Improved performance,Memory use,Low memory usage,Fast execution,Memory use,Stores results.
closures,What are closures?,Functions retaining access to their scope,Sorting scope,Filtering scope,Compression scope,Functions retaining access to their scope,Encapsulates data.
closures,What language supports closures?,JavaScript,HTML,CSS,Python,JavaScript,Functional feature.
closures,What is a use case for closures?,Random access,Data privacy,Filtering data,Sorting data,Data privacy,Protects variables.
closures,What is a benefit of closures?,Increased complexity,Encapsulation,More memory usage,Slower execution,Encapsulation,Hides state.
closures,What is a limitation of closures?,Improved performance,Memory leak risk,Low memory usage,Fast execution,Memory leak risk,Retains references.
currying,What is currying?,Transforming a function into a sequence of functions,Sorting functions,Filtering functions,Compression functions,Transforming a function into a sequence of functions,Enables partial application.
currying,What language supports currying?,Haskell,Python,HTML,JavaScript,Haskell,Functional paradigm.
currying,What is a use case for currying?,Random access,Function specialization,Filtering data,Sorting data,Function specialization,Custom arguments.
currying,What is a benefit of currying?,Increased complexity,Modularity,More memory usage,Slower execution,Modularity,Breaks down functions.
currying,What is a limitation of currying?,Improved performance,Complexity,Low memory usage,Fast execution,Complexity,Hard to read.
higher order functions,What are higher order functions?,Functions that operate on other functions,Sorting functions,Filtering functions,Compression functions,Functions that operate on other functions,Enhances abstraction.
higher order functions,What language supports higher order functions?,JavaScript,HTML,CSS,Python,JavaScript,Functional programming.
higher order functions,What is a use case for higher order functions?,Random access,Array manipulation,Filtering data,Sorting data,Array manipulation,Applies logic.
higher order functions,What is a benefit of higher order functions?,Increased complexity,Reusability,More memory usage,Slower execution,Reusability,Abstracts patterns.
higher order functions,What is a limitation of higher order functions?,Improved performance,Overhead,Low memory usage,Fast execution,Overhead,Performance cost.
time complexity,What is time complexity?,A measure of algorithm runtime,Sorting measure,Filtering measure,Compression measure,A measure of algorithm runtime,Analyzes efficiency.
time complexity,What notation represents time complexity?,Big O,Big Omega,Big Theta,Big Pi,Big O,Upper bound.
time complexity,What is a use case for time complexity?,Random access,Algorithm design,Filtering data,Sorting data,Algorithm design,Compares performance.
time complexity,What is a benefit of time complexity?,Increased complexity,Understanding,More memory usage,Slower execution,Understanding,Guides optimization.
time complexity,What is a limitation of time complexity?,Improved performance,Ignores constants,Low memory usage,Fast execution,Ignores constants,Approximation only.
space complexity,What is space complexity?,A measure of algorithm memory use,Sorting measure,Filtering measure,Compression measure,A measure of algorithm memory use,Analyzes storage.
space complexity,What notation represents space complexity?,Big O,Big Omega,Big Theta,Big Pi,Big O,Upper bound.
space complexity,What is a use case for space complexity?,Random access,Memory optimization,Filtering data,Sorting data,Memory optimization,Reduces footprint.
space complexity,What is a benefit of space complexity?,Increased complexity,Resource awareness,More memory usage,Slower execution,Resource awareness,Guides design.
space complexity,What is a limitation of space complexity?,Improved performance,Ignores actual usage,Low memory usage,Fast execution,Ignores actual usage,Theoretical estimate.
